color_key,color_name,hex_code,r,g,b
air_force_blue_raf,"Air Force Blue (RAF)",#5D8AA8,93,138,168
air_force_blue_usaf,"Air Force Blue (USAF)",#00308F,0,48,143
air_superiority_blue,"Air Superiority Blue",#72A0C1,114,160,193
alabama_crimson,"Alabama Crimson",#A32638,163,38,56
alice_blue,"Alice Blue",#F0F8FF,240,248,255
alizarin_crimson,"Alizarin Crimson",#E32636,227,38,54
alloy_orange,"Alloy Orange",#C46210,196,98,16
almond,"Almond",#EFDECD,239,222,205
amaranth,"Amaranth",#E52B50,229,43,80
amber,"Amber",#FFBF00,255,191,0
amber_sae_ece,"Amber (SAE/ECE)",#FF7E00,255,126,0
american_rose,"American Rose",#FF033E,255,3,62
amethyst,"Amethyst",#9966CC,153,102,204
android_green,"Android Green",#A4C639,164,198,57
anti_flash_white,"Anti-Flash White",#F2F3F4,242,243,244
antique_brass,"Antique Brass",#CD9575,205,149,117
antique_fuchsia,"Antique Fuchsia",#915C83,145,92,131
antique_ruby,"Antique Ruby",#841B2D,132,27,45
antique_white,"Antique White",#FAEBD7,250,235,215
ao_english,"AO (English)",#008000,0,128,0
apple_green,"Apple Green",#8DB600,141,182,0
apricot,"Apricot",#FBCEB1,251,206,177
aqua,"Aqua",#00FFFF,0,255,255
aquamarine,"Aquamarine",#7FFFD4,127,255,212
army_green,"Army Green",#4B5320,75,83,32
arsenic,"Arsenic",#3B444B,59,68,75
arylide_yellow,"Arylide Yellow",#E9D66B,233,214,107
ash_grey,"Ash Grey",#B2BEB5,178,190,181
asparagus,"Asparagus",#87A96B,135,169,107
atomic_tangerine,"Atomic Tangerine",#FF9966,255,153,102
auburn,"Auburn",#A52A2A,165,42,42
aureolin,"Aureolin",#FDEE00,253,238,0
aurometalsaurus,"Aurometalsaurus",#6E7F80,110,127,128
avocado,"Avocado",#568203,86,130,3
azure,"Azure",#007FFF,0,127,255
azure_mist_web,"Azure Mist (Web)",#F0FFFF,240,255,255
baby_blue,"Baby Blue",#89CFF0,137,207,240
baby_blue_eyes,"Baby Blue Eyes",#A1CAF1,161,202,241
baby_pink,"Baby Pink",#F4C2C2,244,194,194
ball_blue,"Ball Blue",#21ABCD,33,171,205
banana_mania,"Banana Mania",#FAE7B5,250,231,181
banana_yellow,"Banana Yellow",#FFE135,255,225,53
barn_red,"Barn Red",#7C0A02,124,10,2
battleship_grey,"Battleship Grey",#848482,132,132,130
bazaar,"Bazaar",#98777B,152,119,123
beau_blue,"Beau Blue",#BCD4E6,188,212,230
beaver,"Beaver",#9F8170,159,129,112
beige,"Beige",#F5F5DC,245,245,220
big_dip_o_ruby,"Big Dip O'Ruby",#9C2542,156,37,66
bisque,"Bisque",#FFE4C4,255,228,196
bistre,"Bistre",#3D2B1F,61,43,31
bittersweet,"Bittersweet",#FE6F5E,254,111,94
bittersweet_shimmer,"Bittersweet Shimmer",#BF4F51,191,79,81
black,"Black",#000000,0,0,0
black_bean,"Black Bean",#3D0C02,61,12,2
black_leather_jacket,"Black Leather Jacket",#253529,37,53,41
black_olive,"Black Olive",#3B3C36,59,60,54
blanched_almond,"Blanched Almond",#FFEBCD,255,235,205
blast_off_bronze,"Blast-Off Bronze",#A57164,165,113,100
bleu_de_france,"Bleu De France",#318CE7,49,140,231
blizzard_blue,"Blizzard Blue",#ACE5EE,172,229,238
blond,"Blond",#FAF0BE,250,240,190
blue,"Blue",#0000FF,0,0,255
blue_bell,"Blue Bell",#A2A2D0,162,162,208
blue_crayola,"Blue (Crayola)",#1F75FE,31,117,254
blue_gray,"Blue Gray",#6699CC,102,153,204
blue_green,"Blue-Green",#0D98BA,13,152,186
blue_munsell,"Blue (Munsell)",#0093AF,0,147,175
blue_ncs,"Blue (NCS)",#0087BD,0,135,189
blue_pigment,"Blue (Pigment)",#333399,51,51,153
blue_ryb,"Blue (RYB)",#0247FE,2,71,254
blue_sapphire,"Blue Sapphire",#126180,18,97,128
blue_violet,"Blue-Violet",#8A2BE2,138,43,226
blush,"Blush",#DE5D83,222,93,131
bole,"Bole",#79443B,121,68,59
bondi_blue,"Bondi Blue",#0095B6,0,149,182
bone,"Bone",#E3DAC9,227,218,201
boston_university_red,"Boston University Red",#CC0000,204,0,0
bottle_green,"Bottle Green",#006A4E,0,106,78
boysenberry,"Boysenberry",#873260,135,50,96
brandeis_blue,"Brandeis Blue",#0070FF,0,112,255
brass,"Brass",#B5A642,181,166,66
brick_red,"Brick Red",#CB4154,203,65,84
bright_cerulean,"Bright Cerulean",#1DACE6,29,172,214
bright_green,"Bright Green",#66FF00,102,255,0
bright_lavender,"Bright Lavender",#BF94E4,191,148,228
bright_maroon,"Bright Maroon",#C32148,195,33,72
